11:10:51 AM Nov 12, 2013 > intelha3:2001:
11:10:51 AM Nov 12, 2013 > End initialization
11:13:20 AM Nov 12, 2013 > HV monitor started -> intelha3:2001
11:13:21 AM Nov 12, 2013 > intelha3:2001:HVOFF
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
11:13:21 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
11:13:22 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
11:13:22 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
11:13:22 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
11:13:22 AM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
11:13:22 AM Nov 12, 2013 > INIT TIME:159 (sec)
11:13:22 AM Nov 12, 2013 > Start HV server -> port: 5555
11:15:10 AM Nov 12, 2013 > ERROR :HVComand:InterruptedException
11:15:10 AM Nov 12, 2013 > ALARM : HVTelnetClient: NO response from: intelha3:2001
